Message,Category
Hope you are having a great day.,ham
"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam
"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",spam
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
Oh k.i think most of wi and nz players unsold.,ham
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,spam
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham
Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham
Great! I shoot big loads so get ready!,ham
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",spam
Thanks for understanding. I've been trying to tell sura that.,ham
S:-)kallis wont play in first two odi:-),ham
I can't make it tonight,ham
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",ham
I cant pick the phone right now. Pls send a message,ham
"Received, understood n acted upon!",ham
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spam
what number do u live at? Is it 11?,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
Double eviction this week - Spiral and Michael and good riddance to them!,ham
Hey company elama po mudyadhu.,ham
