,Message,Category,Predicted
0,Hope you are having a great day.,ham,ham
1,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,spam
2,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",spam,spam
3,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham,ham
4,Oh k.i think most of wi and nz players unsold.,ham,ham
5,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,spam,spam
6,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham,ham
7,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham,ham
8,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham,ham
9,Great! I shoot big loads so get ready!,ham,ham
10,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",spam,spam
11,Thanks for understanding. I've been trying to tell sura that.,ham,ham
12,S:-)kallis wont play in first two odi:-),ham,ham
13,I can't make it tonight,ham,ham
14,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",ham,ham
15,I cant pick the phone right now. Pls send a message,ham,ham
16,"Received, understood n acted upon!",ham,ham
17,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham,ham
18,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,spam
19,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",spam,spam
20,what number do u live at? Is it 11?,ham,ham
21,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,spam
22,Double eviction this week - Spiral and Michael and good riddance to them!,ham,ham
23,Hey company elama po mudyadhu.,ham,ham
24,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham,ham
25,If I die I want u to have all my stuffs.,ham,ham
26,I.ll post her out l8r. In class,ham,ham
27,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam,spam
28,I'm awake oh. What's up.,ham,ham
29,Have you started in skye,ham,ham
30,K:)all the best:)congrats...,ham,ham
31,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",ham,ham
32,Alright i have a new goal now,ham,ham
33,Hey... are you going to quit soon? Xuhui and i working till end of the month,ham,ham
34,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham,ham
35,Shant disturb u anymore... Jia you...,ham,ham
36,Yes its possible but dint try. Pls dont tell to any one k,ham,ham
37,Captain is in our room:),ham,ham
38,Cuz ibored. And don wanna study,ham,ham
39,Si si. I think ill go make those oreo truffles.,ham,ham
40,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",ham,ham
41,2/2 146tf150p,spam,spam
42,Yup but it's not giving me problems now so mayb i'll jus leave it...,ham,ham
43,"Sorry, I'll call later",ham,ham
44,There bold 2  &lt;#&gt; . Is that yours,ham,ham
45,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june.",ham,ham
46,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",ham,ham
47,Nah im goin 2 the wrks with j wot bout u?,ham,ham
48,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,ham
49,Every day i use to sleep after  &lt;#&gt;  so only.,ham,ham
50,Nationwide auto centre (or something like that) on Newport road. I liked them there,ham,ham
51,Oh... Kay... On sat right?,ham,ham
52,Should I have picked up a receipt or something earlier,ham,ham
53,Go chase after her and run her over while she's crossing the street,ham,ham
54,"I'm in solihull, | do you want anything?",ham,ham
55,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u",ham,ham
56,Meet after lunch la...,ham,ham
57,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",ham,ham
58,Yeah confirmed for you staying at  that weekend,ham,ham
59,These won't do. Have to move on to morphine,ham,ham
60,Ok ok take care. I can understand.,ham,ham
61,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam,spam
62,"Yeah, that's fine! It's £6 to get in, is that ok?",ham,ham
63,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,ham,ham
64,"Sorry, I'll call later in meeting",ham,ham
65,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham,ham
66,I plane to give on this month end.,ham,ham
67,It's ok lar. U sleep early too... Nite...,ham,ham
68,Good evening! this is roger. How are you?,ham,ham
69,"As usual..iam fine, happy &amp; doing well..:)",ham,ham
70,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,ham
71,K. I will sent it again,ham,ham
72,I'm leaving my house now...,ham,ham
73,You in your room? I need a few,ham,ham
74,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max,spam,spam
75,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,ham,ham
76,How much u trying to get?,ham,ham
77,Wife.how she knew the time of murder exactly,ham,ham
78,Hanging out with my brother and his family,ham,ham
79,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham,ham
80,I'm reaching home in 5 min.,ham,ham
81,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,spam
82,Fffff. Can you text kadeem or are you too far gone,ham,ham
83,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham,ham
84,Tell me something. Thats okay.,ham,ham
85,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",spam,spam
86,All will come alive.better correct any good looking figure there itself..,ham,ham
87,Hey. You got any mail?,ham,ham
88,Booked ticket for pongal?,ham,ham
89,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",ham,ham
90,I want to be inside you every night...,ham,ham
91,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,ham
92,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,ham,ham
93,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam,spam
94,And now electricity just went out fml.,ham,ham
95,Lol its ok I didn't remember til last nite,ham,ham
96,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham,ham
97,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,ham,ham
98,Have a good evening! Ttyl,ham,ham
99,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham,ham
100,I'm fine. Hope you are good. Do take care.,ham,ham
101,Your bill at 3 is £33.65 so thats not bad!,ham,ham
102,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham,ham
103,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,spam,spam
104,We'll join the  &lt;#&gt;  bus,ham,ham
105,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,spam
106,"That's very rude, you on campus?",ham,ham
107,"Cool, I'll text you when I'm on the way",ham,ham
108,Think + da. You wil do.,ham,ham
109,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",ham,ham
110,Would really appreciate if you call me. Just need someone to talk to.,ham,ham
111,You always make things bigger than they are,ham,ham
112,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",ham,ham
113,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",ham,ham
114,He's just gonna worry for nothing. And he won't give you money its no use.,ham,ham
115,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,ham,ham
116,I want to be there so i can kiss you and feel you next to me,ham,ham
117,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,spam,spam
118,Jay says that you're a double-faggot,ham,ham
119,Hmm .. Bits and pieces lol ... *sighs* ...,ham,ham
120,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,ham,ham
121,I went to project centre,ham,ham
122,No pic. Please re-send.,ham,ham
123,"I am in tirupur da, once you started from office call me.",ham,ham
124,"There're some people by mu, I'm at the table by lambda",ham,ham
125,Nope... C ü then...,ham,ham
126,Nan sonathaya soladha. Why boss?,ham,ham
127,No:-)i got rumour that you going to buy apartment in chennai:-),ham,ham
128,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,ham
129,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,spam,spam
130,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham,ham
131,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,ham,ham
132,"That's cool he'll be here all night, lemme know when you're around",ham,ham
133,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham,ham
134,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",ham,ham
135,Detroit. The home of snow. Enjoy it.,ham,ham
136,I know girls always safe and selfish know i got it pa. Thank you. good night.,ham,ham
137,Haha i think i did too,ham,ham
138,R u still working now?,ham,ham
139,Dear got train and seat mine lower seat,ham,ham
140,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",ham,ham
141,Ok lor.,ham,ham
142,Somebody should go to andros and steal ice,ham,ham
143,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham,ham
144,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham,ham
145,"Damn, poor zac doesn't stand a chance",ham,ham
146,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham,ham
147,"Its ok., i just askd did u knw tht no?",ham,ham
148,"Oh... Icic... K lor, den meet other day...",ham,ham
149,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,spam
150,At WHAT TIME should i come tomorrow,ham,ham
151,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,spam
152,But pls dont play in others life.,ham,ham
153,Thats cool. i liked your photos. You are very sexy!,ham,ham
154,It's justbeen overa week since we broke up and already our brains are going to mush!,ham,ham
155,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam,spam
156,Wat would u like 4 ur birthday?,ham,ham
157,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",ham,ham
158,"Sorry, I'll call later",ham,ham
159,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,ham,ham
160,Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?,ham,ham
